health_color,account_id,date,compute_credits_consumed
Green,ACC0001,2024-01-01,229
Green,ACC0001,2024-01-08,220
Green,ACC0001,2024-01-16,142
Green,ACC0001,2024-01-24,124
Green,ACC0001,2024-02-01,243
Yellow,ACC0001,2024-02-09,107
Yellow,ACC0001,2024-02-17,139
Yellow,ACC0001,2024-02-25,264
Yellow,ACC0001,2024-03-04,252
Green,ACC0001,2024-03-12,121
Green,ACC0001,2024-03-20,228
Green,ACC0001,2024-03-28,99
Green,ACC0001,2024-04-05,215
Green,ACC0001,2024-04-13,266
Green,ACC0001,2024-04-21,210
Green,ACC0001,2024-04-29,148
Green,ACC0001,2024-05-06,100
Green,ACC0001,2024-05-14,258
Green,ACC0001,2024-05-22,135
Green,ACC0001,2024-05-30,206
Green,ACC0001,2024-06-07,133
Green,ACC0001,2024-06-15,110
Green,ACC0001,2024-06-23,154
Green,ACC0001,2024-07-01,235
Green,ACC0001,2024-07-09,106
Green,ACC0001,2024-07-17,143
Green,ACC0001,2024-07-25,162
Green,ACC0001,2024-08-02,248
Green,ACC0001,2024-08-10,232
Green,ACC0001,2024-08-18,119
Green,ACC0001,2024-08-26,137
Green,ACC0001,2024-09-02,205
Green,ACC0001,2024-09-10,183
Green,ACC0001,2024-09-18,135
Green,ACC0001,2024-09-26,168
Green,ACC0001,2024-10-04,265
Green,ACC0001,2024-10-12,270
Green,ACC0001,2024-10-20,137
Green,ACC0001,2024-10-28,221
Green,ACC0001,2024-11-05,233
Green,ACC0001,2024-11-13,113
Green,ACC0001,2024-11-21,191
Green,ACC0001,2024-11-29,258
Green,ACC0001,2024-12-07,97
Green,ACC0001,2024-12-15,245
Green,ACC0001,2024-12-23,172
Green,ACC0001,2024-12-31,153
Yellow,ACC0002,2024-01-01,415
Yellow,ACC0002,2024-01-07,380
Yellow,ACC0002,2024-01-14,196
Yellow,ACC0002,2024-01-21,188
Yellow,ACC0002,2024-01-28,518
Yellow,ACC0002,2024-02-04,339
Yellow,ACC0002,2024-02-11,428
Green,ACC0002,2024-02-18,219
Red,ACC0002,2024-02-25,283
Red,ACC0002,2024-03-02,349
Red,ACC0002,2024-03-09,265
Red,ACC0002,2024-03-16,374
Red,ACC0002,2024-03-23,338
Red,ACC0002,2024-03-30,457
Green,ACC0002,2024-04-06,383
Green,ACC0002,2024-04-13,192
Green,ACC0002,2024-04-20,219
Green,ACC0002,2024-04-27,512
Green,ACC0002,2024-05-03,221
Green,ACC0002,2024-05-10,406
Green,ACC0002,2024-05-17,405
Green,ACC0002,2024-05-24,505
Green,ACC0002,2024-05-31,199
Green,ACC0002,2024-06-07,392
Yellow,ACC0002,2024-06-14,518
Yellow,ACC0002,2024-06-21,419
Yellow,ACC0002,2024-06-28,294
Yellow,ACC0002,2024-07-04,419
Yellow,ACC0002,2024-07-11,293
Yellow,ACC0002,2024-07-18,279
Yellow,ACC0002,2024-07-25,528
Yellow,ACC0002,2024-08-01,406
Yellow,ACC0002,2024-08-08,361
Yellow,ACC0002,2024-08-15,378
Yellow,ACC0002,2024-08-22,195
Yellow,ACC0002,2024-08-29,444
Yellow,ACC0002,2024-09-04,265
Yellow,ACC0002,2024-09-11,300
Yellow,ACC0002,2024-09-18,490
Red,ACC0002,2024-09-25,313
Red,ACC0002,2024-10-02,345
Red,ACC0002,2024-10-09,275
Red,ACC0002,2024-10-16,526
Red,ACC0002,2024-10-23,348
Red,ACC0002,2024-10-30,287
Red,ACC0002,2024-11-05,323
Red,ACC0002,2024-11-12,372
Yellow,ACC0002,2024-11-19,297
Yellow,ACC0002,2024-11-26,267
Yellow,ACC0002,2024-12-03,277
Yellow,ACC0002,2024-12-10,363
Yellow,ACC0002,2024-12-17,446
Yellow,ACC0002,2024-12-24,207
Yellow,ACC0002,2024-12-31,319
Green,ACC0003,2024-01-01,8
Green,ACC0003,2024-01-08,21
Green,ACC0003,2024-01-15,22
Green,ACC0003,2024-01-22,18
Green,ACC0003,2024-01-30,21
Green,ACC0003,2024-02-06,13
Green,ACC0003,2024-02-13,12
Green,ACC0003,2024-02-21,8
Green,ACC0003,2024-02-28,11
Green,ACC0003,2024-03-06,14
Green,ACC0003,2024-03-14,7
Green,ACC0003,2024-03-21,18
Green,ACC0003,2024-03-28,15
Green,ACC0003,2024-04-04,22
Green,ACC0003,2024-04-12,7
Green,ACC0003,2024-04-19,13
Green,ACC0003,2024-04-26,18
Green,ACC0003,2024-05-04,12
Green,ACC0003,2024-05-11,15
Green,ACC0003,2024-05-18,13
Green,ACC0003,2024-05-26,14
Green,ACC0003,2024-06-02,17
Green,ACC0003,2024-06-09,15
Green,ACC0003,2024-06-16,21
Green,ACC0003,2024-06-24,7
Green,ACC0003,2024-07-01,12
Green,ACC0003,2024-07-08,7
Green,ACC0003,2024-07-16,13
Green,ACC0003,2024-07-23,22
Green,ACC0003,2024-07-30,19
Green,ACC0003,2024-08-07,17
Green,ACC0003,2024-08-14,20
Green,ACC0003,2024-08-21,17
Green,ACC0003,2024-08-28,7
Green,ACC0003,2024-09-05,14
Green,ACC0003,2024-09-12,10
Yellow,ACC0003,2024-09-19,20
Yellow,ACC0003,2024-09-27,14
Yellow,ACC0003,2024-10-04,12
Yellow,ACC0003,2024-10-11,12
Yellow,ACC0003,2024-10-19,9
Yellow,ACC0003,2024-10-26,14
Yellow,ACC0003,2024-11-02,22
Yellow,ACC0003,2024-11-09,10
Yellow,ACC0003,2024-11-17,8
Yellow,ACC0003,2024-11-24,19
Yellow,ACC0003,2024-12-01,18
Yellow,ACC0003,2024-12-09,14
Green,ACC0003,2024-12-16,12
Green,ACC0003,2024-12-23,11
Green,ACC0003,2024-12-31,10
Green,ACC0004,2024-01-01,47
Green,ACC0004,2024-01-08,44
Green,ACC0004,2024-01-16,20
Green,ACC0004,2024-01-24,22
Green,ACC0004,2024-02-01,47
Green,ACC0004,2024-02-09,45
Green,ACC0004,2024-02-17,20
Green,ACC0004,2024-02-25,20
Green,ACC0004,2024-03-04,45
Yellow,ACC0004,2024-03-12,30
Green,ACC0004,2024-03-20,33
Green,ACC0004,2024-03-28,48
Green,ACC0004,2024-04-05,33
Green,ACC0004,2024-04-13,20
Green,ACC0004,2024-04-21,49
Green,ACC0004,2024-04-29,29
Green,ACC0004,2024-05-06,35
Green,ACC0004,2024-05-14,20
Green,ACC0004,2024-05-22,30
Green,ACC0004,2024-05-30,23
Green,ACC0004,2024-06-07,49
Green,ACC0004,2024-06-15,49
Green,ACC0004,2024-06-23,35
Red,ACC0004,2024-07-01,36
Red,ACC0004,2024-07-09,20
Red,ACC0004,2024-07-17,24
Red,ACC0004,2024-07-25,44
Red,ACC0004,2024-08-02,44
Red,ACC0004,2024-08-10,20
Red,ACC0004,2024-08-18,29
Red,ACC0004,2024-08-26,20
Red,ACC0004,2024-09-02,28
Green,ACC0004,2024-09-10,34
Green,ACC0004,2024-09-18,49
Green,ACC0004,2024-09-26,25
Green,ACC0004,2024-10-04,48
Green,ACC0004,2024-10-12,20
Green,ACC0004,2024-10-20,29
Green,ACC0004,2024-10-28,19
Green,ACC0004,2024-11-05,22
Green,ACC0004,2024-11-13,28
Green,ACC0004,2024-11-21,37
Green,ACC0004,2024-11-29,32
Green,ACC0004,2024-12-07,48
Green,ACC0004,2024-12-15,34
Green,ACC0004,2024-12-23,42
Green,ACC0004,2024-12-31,48
Green,ACC0005,2024-01-01,501
Green,ACC0005,2024-01-08,426
Green,ACC0005,2024-01-15,565
Green,ACC0005,2024-01-23,741
Green,ACC0005,2024-01-30,558
Green,ACC0005,2024-02-07,781
Green,ACC0005,2024-02-14,346
Green,ACC0005,2024-02-22,695
Green,ACC0005,2024-02-29,349
Green,ACC0005,2024-03-08,493
Green,ACC0005,2024-03-15,543
Green,ACC0005,2024-03-22,799
Green,ACC0005,2024-03-30,613
Green,ACC0005,2024-04-06,552
Green,ACC0005,2024-04-14,431
Green,ACC0005,2024-04-21,663
Green,ACC0005,2024-04-29,961
Green,ACC0005,2024-05-06,581
Green,ACC0005,2024-05-14,486
Green,ACC0005,2024-05-21,574
Green,ACC0005,2024-05-28,396
Green,ACC0005,2024-06-05,878
Green,ACC0005,2024-06-12,448
Green,ACC0005,2024-06-20,349
Green,ACC0005,2024-06-27,901
Green,ACC0005,2024-07-05,731
Green,ACC0005,2024-07-12,504
Green,ACC0005,2024-07-20,413
Green,ACC0005,2024-07-27,724
Green,ACC0005,2024-08-04,672
Green,ACC0005,2024-08-11,894
Green,ACC0005,2024-08-18,621
Green,ACC0005,2024-08-26,925
Green,ACC0005,2024-09-02,781
Green,ACC0005,2024-09-10,422
Green,ACC0005,2024-09-17,656
Green,ACC0005,2024-09-25,437
Green,ACC0005,2024-10-02,415
Green,ACC0005,2024-10-10,559
Green,ACC0005,2024-10-17,325
Green,ACC0005,2024-10-24,461
Green,ACC0005,2024-11-01,960
Green,ACC0005,2024-11-08,919
Green,ACC0005,2024-11-16,672
Green,ACC0005,2024-11-23,821
Green,ACC0005,2024-12-01,830
Green,ACC0005,2024-12-08,582
Green,ACC0005,2024-12-16,956
Green,ACC0005,2024-12-23,895
Green,ACC0005,2024-12-31,502
Green,ACC0006,2024-01-01,484
Green,ACC0006,2024-01-08,279
Green,ACC0006,2024-01-15,291
Green,ACC0006,2024-01-22,402
Green,ACC0006,2024-01-29,363
Green,ACC0006,2024-02-05,525
Green,ACC0006,2024-02-12,349
Green,ACC0006,2024-02-20,334
Green,ACC0006,2024-02-27,214
Green,ACC0006,2024-03-05,381
Green,ACC0006,2024-03-12,412
Green,ACC0006,2024-03-19,370
Green,ACC0006,2024-03-26,380
Green,ACC0006,2024-04-03,477
Green,ACC0006,2024-04-10,253
Green,ACC0006,2024-04-17,221
Green,ACC0006,2024-04-24,391
Green,ACC0006,2024-05-01,474
Green,ACC0006,2024-05-08,374
Green,ACC0006,2024-05-15,447
Green,ACC0006,2024-05-23,513
Green,ACC0006,2024-05-30,273
Green,ACC0006,2024-06-06,229
Green,ACC0006,2024-06-13,321
Green,ACC0006,2024-06-20,302
Green,ACC0006,2024-06-27,234
Green,ACC0006,2024-07-05,562
Green,ACC0006,2024-07-12,430
Yellow,ACC0006,2024-07-19,600
Yellow,ACC0006,2024-07-26,569
Yellow,ACC0006,2024-08-02,464
Yellow,ACC0006,2024-08-09,541
Yellow,ACC0006,2024-08-17,263
Yellow,ACC0006,2024-08-24,398
Yellow,ACC0006,2024-08-31,574
Yellow,ACC0006,2024-09-07,569
Yellow,ACC0006,2024-09-14,486
Yellow,ACC0006,2024-09-21,419
Yellow,ACC0006,2024-09-28,570
Red,ACC0006,2024-10-06,599
Red,ACC0006,2024-10-13,392
Red,ACC0006,2024-10-20,381
Red,ACC0006,2024-10-27,273
Red,ACC0006,2024-11-03,348
Red,ACC0006,2024-11-10,455
Red,ACC0006,2024-11-18,470
Red,ACC0006,2024-11-25,316
Red,ACC0006,2024-12-02,416
Red,ACC0006,2024-12-09,228
Green,ACC0006,2024-12-16,565
Green,ACC0006,2024-12-23,477
Green,ACC0006,2024-12-31,586
Yellow,ACC0007,2024-01-01,68
Yellow,ACC0007,2024-01-08,66
Yellow,ACC0007,2024-01-16,34
Green,ACC0007,2024-01-24,87
Green,ACC0007,2024-02-01,33
Green,ACC0007,2024-02-08,37
Green,ACC0007,2024-02-16,56
Green,ACC0007,2024-02-24,62
Green,ACC0007,2024-03-03,52
Yellow,ACC0007,2024-03-10,87
Yellow,ACC0007,2024-03-18,73
Yellow,ACC0007,2024-03-26,47
Yellow,ACC0007,2024-04-03,55
Yellow,ACC0007,2024-04-10,50
Green,ACC0007,2024-04-18,49
Green,ACC0007,2024-04-26,83
Green,ACC0007,2024-05-04,58
Green,ACC0007,2024-05-12,63
Green,ACC0007,2024-05-19,63
Green,ACC0007,2024-05-27,72
Green,ACC0007,2024-06-04,34
Green,ACC0007,2024-06-12,38
Green,ACC0007,2024-06-19,37
Green,ACC0007,2024-06-27,61
Green,ACC0007,2024-07-05,69
Green,ACC0007,2024-07-13,45
Green,ACC0007,2024-07-20,48
Green,ACC0007,2024-07-28,42
Green,ACC0007,2024-08-05,77
Green,ACC0007,2024-08-13,56
Green,ACC0007,2024-08-20,55
Green,ACC0007,2024-08-28,53
Green,ACC0007,2024-09-05,81
Green,ACC0007,2024-09-13,88
Yellow,ACC0007,2024-09-21,51
Yellow,ACC0007,2024-09-28,73
Yellow,ACC0007,2024-10-06,48
Yellow,ACC0007,2024-10-14,56
