log_id,account_id,date,compute_credits_consumed,dq_rule
LOG0210483,ACC9965,2024-02-16,446,DQ-001
LOG0210484,ACC9880,2024-06-20,457,DQ-001
LOG0210485,ACC9200,2024-09-30,209,DQ-001
LOG0210486,ACC9277,2024-09-25,415,DQ-001
LOG0210487,ACC9023,2024-01-23,148,DQ-001
LOG0210488,ACC9527,2024-05-14,17,DQ-001
LOG0210489,ACC9159,2024-11-20,342,DQ-001
LOG0210490,ACC9544,2024-02-16,122,DQ-001
LOG0210491,ACC9313,2024-01-17,439,DQ-001
LOG0210492,ACC9106,2024-12-18,482,DQ-001
LOG0210493,ACC9576,2024-03-08,453,DQ-001
LOG0210494,ACC9657,2024-05-24,422,DQ-001
LOG0210495,ACC9623,2024-07-22,455,DQ-001
LOG0210496,ACC9599,2024-06-22,312,DQ-001
LOG0210497,ACC9512,2024-09-17,152,DQ-001
LOG0210498,ACC9454,2024-12-25,374,DQ-001
LOG0210499,ACC9750,2024-02-20,52,DQ-001
LOG0210500,ACC9844,2024-01-06,84,DQ-001
LOG0210501,ACC9345,2024-11-06,187,DQ-001
LOG0210502,ACC9400,2024-10-06,91,DQ-001
LOG0210503,ACC9417,2024-05-20,157,DQ-001
LOG0210504,ACC9966,2024-11-26,19,DQ-001
LOG0210505,ACC9020,2024-04-27,448,DQ-001
LOG0210506,ACC9715,2024-04-22,59,DQ-001
LOG0210507,ACC9643,2024-02-26,41,DQ-001
LOG0210508,ACC9332,2024-09-27,86,DQ-001
LOG0210509,ACC9515,2024-06-01,184,DQ-001
LOG0210510,ACC9784,2024-05-21,206,DQ-001
LOG0210511,ACC9570,2024-08-22,66,DQ-001
LOG0210512,ACC9971,2024-06-07,115,DQ-001
LOG0210513,ACC9606,2024-09-19,163,DQ-001
LOG0210514,ACC9801,2024-10-19,48,DQ-001
LOG0210515,ACC9451,2024-12-12,163,DQ-001
LOG0210516,ACC9718,2024-07-21,428,DQ-001
LOG0210517,ACC9912,2024-11-19,120,DQ-001
LOG0210518,ACC9490,2024-03-16,262,DQ-001
LOG0210519,ACC9125,2024-06-26,452,DQ-001
LOG0210520,ACC9262,2024-09-20,114,DQ-001
LOG0210521,ACC9499,2024-07-08,134,DQ-001
LOG0210522,ACC9658,2024-09-24,405,DQ-001
LOG0210523,ACC9874,2024-04-22,170,DQ-001
LOG0210524,ACC9411,2024-10-27,418,DQ-001
LOG0210525,ACC9794,2024-02-28,319,DQ-001
LOG0210526,ACC9419,2024-04-06,260,DQ-001
LOG0210527,ACC9261,2024-05-03,155,DQ-001
LOG0210528,ACC9075,2024-05-19,376,DQ-001
LOG0210529,ACC9845,2024-04-04,273,DQ-001
LOG0210530,ACC9784,2024-09-27,145,DQ-001
LOG0210531,ACC9669,2024-10-26,289,DQ-001
LOG0210532,ACC9950,2024-11-22,165,DQ-001
LOG0210533,ACC9200,2024-03-23,279,DQ-001
LOG0210534,ACC9959,2024-07-02,331,DQ-001
LOG0210535,ACC9695,2024-07-28,120,DQ-001
LOG0210536,ACC9852,2024-11-22,499,DQ-001
