account_id,month,contracted_arr,deployment_score,sustained_usage_score,technical_health_score,expansion_momentum,prs,realized_arr,prs_band,shelfware_override,flag_overage,months_in_window,months_active
ACC0002,2024-01,5000,1.0,1.0,1.0,0.1,0.91,4550.0,Green,False,True,1,1
ACC0005,2024-01,500000,1.0,1.0,0.6,0.1,0.83,415000.0,Green,False,True,1,1
ACC0007,2024-01,10000,0.0,0.0,0.6,0.1,0.0,0.0,Red,True,False,1,1
ACC0011,2024-01,22043,1.0,1.0,0.76,0.1,0.862,19001.07,Green,False,True,1,1
ACC0015,2024-01,10000,1.0,1.0,1.0,0.1,0.91,9100.0,Green,False,True,1,1
ACC0019,2024-01,5000,0.5347,1.0,0.84,0.1,0.6919,3459.47,Yellow,False,False,1,1
ACC0054,2024-01,5000,1.0,1.0,1.0,0.1,0.91,4550.0,Green,False,True,1,1
ACC0058,2024-01,10000,0.656,1.0,0.68,0.1,0.7084,7084.04,Yellow,False,False,1,1
ACC0064,2024-01,35000,1.0,1.0,0.6,0.1,0.83,29050.0,Green,False,True,1,1
ACC0067,2024-01,5000,0.6075,1.0,1.0,0.1,0.753,3765.08,Yellow,False,False,1,1
ACC0075,2024-01,15000,0.5794,1.0,0.92,0.1,0.7258,10886.43,Yellow,False,False,1,1
ACC0091,2024-01,100000,0.61,1.0,0.36,0.1,0.626,62602.0,Yellow,False,False,1,1
ACC0129,2024-01,300000,0.6445,1.0,0.76,0.1,0.7198,215937.8,Yellow,False,False,1,1
ACC0161,2024-01,75000,0.5876,1.0,1.0,0.1,0.745,55876.76,Yellow,False,False,1,1
ACC0180,2024-01,35849,0.6518,1.0,1.0,0.1,0.7707,27629.89,Yellow,False,False,1,1
ACC0189,2024-01,100000,0.5699,1.0,1.0,0.1,0.738,73795.88,Yellow,False,False,1,1
ACC0190,2024-01,25000,0.6414,1.0,1.0,0.1,0.7665,19163.72,Yellow,False,False,1,1
ACC0192,2024-01,25000,0.7275,1.0,1.0,0.1,0.801,20024.94,Green,False,False,1,1
ACC0198,2024-01,10000,0.7768,1.0,1.0,0.1,0.8207,8207.4,Green,False,False,1,1
ACC0204,2024-01,159441,1.0,1.0,1.0,0.1,0.91,145091.31,Green,False,True,1,1
ACC0209,2024-01,500000,0.5921,1.0,1.0,0.1,0.7468,373419.99,Yellow,False,False,1,1
ACC0236,2024-01,150000,0.572,1.0,0.6,0.1,0.6588,98817.54,Yellow,False,False,1,1
ACC0253,2024-01,50000,1.0,1.0,1.0,0.1,0.91,45500.0,Green,False,True,1,1
ACC0258,2024-01,196326,0.0,0.0,0.6,0.1,0.0,0.0,Red,True,False,1,1
ACC0259,2024-01,82051,0.5492,1.0,1.0,0.1,0.7297,59871.55,Yellow,False,False,1,1
ACC0262,2024-01,50000,0.6368,1.0,0.76,0.1,0.7167,35835.45,Yellow,False,False,1,1
ACC0263,2024-01,75000,0.6713,1.0,0.6,0.1,0.6985,52389.31,Yellow,False,False,1,1
ACC0269,2024-01,25000,0.5421,1.0,1.0,0.1,0.7269,18171.39,Yellow,False,False,1,1
ACC0277,2024-01,15000,0.6223,1.0,1.0,0.1,0.7589,11383.92,Yellow,False,False,1,1
ACC0279,2024-01,100000,0.6489,1.0,0.6,0.1,0.6896,68956.34,Yellow,False,False,1,1
ACC0305,2024-01,100000,0.7679,1.0,0.7,0.1,0.7572,75716.52,Yellow,False,False,1,1
ACC0306,2024-01,5000,1.0,1.0,1.0,0.1,0.91,4550.0,Green,False,True,1,1
ACC0307,2024-01,50000,0.6443,1.0,0.4,0.1,0.6477,32385.65,Yellow,False,False,1,1
ACC0329,2024-01,15000,0.6426,1.0,0.68,0.1,0.703,10545.7,Yellow,False,False,1,1
ACC0336,2024-01,200000,0.7172,1.0,0.6,0.1,0.7169,143378.91,Yellow,False,False,1,1
ACC0342,2024-01,10000,0.7602,1.0,0.6,0.1,0.7341,7340.72,Yellow,False,False,1,1
ACC0350,2024-01,10000,0.5317,1.0,1.0,0.1,0.7227,7226.95,Yellow,False,False,1,1
ACC0354,2024-01,100000,0.6704,1.0,0.6,0.1,0.6982,69816.63,Yellow,False,False,1,1
ACC0406,2024-01,200000,0.511,1.0,0.2,0.1,0.5544,110883.87,Orange,False,False,1,1
